Subject, Waytotal, Total, PAG_NVox, AON, AON_NVox, AON_NVoxPath, PirF, PirF_NVox, PirF_NVoxPath, PirT, PirT_NVox, PirT_NVoxPath, Tub, Tub_NVox, Tub_NVoxPath, 
695768, 925947  , 13001.000060, 190, 42.999996, 318, 39, 2876.000036, 211, 182, 3534.000055, 456, 185, 6548.000075, 150, 185, 
702133, 771054  , 22320.000000, 155, 245.999976, 294, 111, 7085.999995, 180, 155, 7353.999955, 391, 155, 7634.000015, 126, 155, 
715950, 877239  , 41207.000016, 179, 703.000020, 355, 116, 15465.999920, 175, 178, 12658.999930, 354, 179, 12378.999981, 137, 177, 
724446, 1123177  , 121176.000036, 234, 1418.000090, 376, 197, 41770.999998, 246, 234, 34461.000054, 463, 234, 43525.999998, 169, 234, 
725751, 889059  , 33346.999931, 179, 306.000050, 404, 115, 11668.000082, 252, 179, 8818.000030, 465, 179, 12555.000035, 215, 179, 
729557, 797375  , 7750.000006, 162, 603.999949, 239, 133, 2154.999951, 199, 153, 2285.999985, 373, 155, 2704.999990, 162, 154, 
731140, 794426  , 61481.999992, 163, 542.000018, 370, 119, 18394.000038, 251, 163, 13296.999981, 451, 163, 29249.000034, 193, 163, 
735148, 988208  , 5612.000030, 200, 235.999962, 349, 99, 1872.000064, 267, 176, 1113.000000, 463, 168, 2391.000018, 178, 179, 
744553, 1031812  , 47956.000020, 213, 450.999945, 266, 165, 16675.000005, 221, 213, 15351.000099, 421, 213, 15479.000012, 178, 212, 
748258, 843496  , 32972.999936, 172, 461.000025, 221, 135, 8724.000024, 162, 171, 5132.999956, 373, 172, 18654.999944, 149, 172, 
749058, 1017824  , 26650.999916, 206, 337.999968, 417, 96, 6071.999968, 239, 206, 8280.000050, 579, 206, 11961.000042, 186, 206, 
753150, 1130874  , 36266.000001, 231, 353.999994, 486, 129, 11328.999990, 294, 231, 8409.999910, 538, 230, 16172.999997, 207, 231, 
756055, 863077  , 21484.000032, 176, 2976.999930, 233, 174, 5370.000064, 193, 176, 6183.000032, 375, 176, 6954.000064, 141, 176, 
769064, 1039773  , 42977.999980, 212, 1726.000040, 275, 184, 9834.999914, 238, 211, 7825.999928, 428, 212, 23591.000024, 198, 212, 
770352, 813181  , 21261.999942, 166, 3976.000028, 300, 143, 6054.999966, 169, 162, 2993.999986, 387, 158, 8236.999998, 140, 162, 
782561, 1040907  , 53265.999988, 214, 1014.000000, 337, 160, 16700.999984, 204, 214, 16292.999996, 454, 214, 19257.999956, 174, 214, 
789373, 971334  , 41445.000030, 201, 365.000066, 347, 142, 12761.999937, 269, 201, 10333.000000, 495, 200, 17985.000012, 200, 201, 
800941, 927177  , 86751.000071, 193, 447.000000, 486, 120, 26045.000091, 280, 193, 23116.999986, 542, 193, 37142.000028, 198, 193, 
803240, 968654  , 85836.000000, 200, 226.000000, 369, 113, 16628.000004, 183, 198, 16354.999980, 369, 198, 52627.000000, 157, 200, 
812746, 1150353  , 37389.999999, 233, 259.000020, 410, 114, 10141.000024, 217, 232, 9013.000016, 453, 232, 17977.000008, 184, 232, 
816653, 894600  , 31365.000030, 182, 133.999972, 508, 82, 9822.999914, 301, 182, 8732.999912, 570, 182, 12674.999974, 171, 182, 
820745, 1013587  , 6768.000042, 207, 311.999972, 350, 134, 1927.999941, 251, 193, 1439.999910, 474, 186, 3088.000016, 178, 188, 
825048, 852830  , 43668.999936, 174, 1538.000030, 413, 170, 10996.999926, 210, 174, 11887.000008, 441, 174, 19247.000082, 216, 174, 
833148, 990855  , 6476.000086, 202, 304.999948, 315, 124, 2273.999904, 268, 198, 2069.000010, 501, 198, 1828.000088, 179, 181, 
833249, 939360  , 74295.999904, 196, 1659.999964, 326, 164, 25893.000028, 217, 196, 20484.999990, 456, 195, 26258.000048, 137, 196, 
835657, 918116  , 22018.999981, 188, 1007.000041, 371, 157, 6631.000068, 188, 186, 5662.999914, 441, 187, 8717.999940, 130, 185, 
837560, 838770  , 22563.000036, 175, 183.999998, 370, 98, 5746.999973, 198, 169, 6867.000068, 444, 172, 9765.000051, 157, 173, 
849264, 936299  , 25337.000080, 190, 222.999950, 208, 115, 6972.000030, 159, 190, 8848.999960, 339, 190, 9292.999968, 129, 189, 
849971, 935231  , 10911.999990, 191, 551.999968, 350, 104, 1867.999945, 197, 185, 2934.000080, 448, 187, 5557.999923, 154, 189, 
865363, 918167  , 17989.999932, 188, 128.999968, 376, 76, 5054.999934, 236, 186, 4173.000024, 445, 186, 8633.000044, 175, 188, 
872562, 1114141  , 30038.999954, 226, 335.999958, 366, 147, 8490.000027, 198, 223, 6259.000095, 446, 223, 14954.000096, 170, 224, 
877269, 830191  , 33000.999984, 171, 1391.000052, 299, 148, 11472.999950, 181, 170, 6241.000050, 359, 170, 13895.999920, 150, 170, 
889579, 1145290  , 11403.999938, 232, 48.000010, 436, 34, 4478.000007, 318, 201, 2198.999919, 612, 183, 4679.000000, 231, 200, 
894067, 1018589  , 6163.000000, 207, 88.000003, 369, 61, 1812.999960, 294, 174, 1143.000081, 602, 171, 3119.000094, 195, 189, 
894774, 1195920  , 33444.999968, 244, 1040.999939, 398, 211, 7142.999931, 266, 239, 8465.999982, 478, 242, 16795.000113, 204, 239, 
898176, 1285087  , 103091.999990, 260, 726.000050, 334, 181, 36832.999935, 248, 255, 18174.000125, 487, 251, 47359.000024, 189, 254, 
899885, 1001545  , 41380.000095, 203, 3428.000037, 320, 187, 8522.000088, 237, 203, 7362.000090, 462, 202, 22068.000080, 160, 203, 
901442, 835988  , 33056.000030, 170, 684.000036, 301, 138, 9315.000060, 195, 170, 9460.999970, 413, 170, 13596.000070, 154, 170, 
907656, 835085  , 14442.000037, 173, 1104.000004, 234, 149, 3903.000075, 162, 169, 3198.000013, 313, 169, 6236.999979, 119, 173, 
912447, 1176771  , 25968.999910, 240, 120.999973, 374, 59, 6028.000028, 241, 236, 2612.999925, 503, 225, 17206.999922, 205, 238, 
919966, 1039341  , 18614.999970, 217, 129.000009, 295, 97, 5205.999911, 223, 217, 5404.000104, 431, 216, 7876.000008, 142, 216, 
922854, 882868  , 44158.999996, 182, 130.000008, 389, 86, 15057.000064, 290, 178, 11129.999936, 561, 176, 17842.000020, 217, 174, 
923755, 1182664  , 27370.999920, 242, 263.000042, 358, 113, 9409.000014, 258, 237, 6556.999928, 427, 236, 11141.999988, 171, 238, 
930449, 760085  , 37837.999992, 156, 236.999958, 333, 102, 10396.999944, 242, 153, 10523.000034, 567, 153, 16680.999972, 175, 156, 
947668, 985697  , 18825.999985, 200, 88.000000, 332, 64, 4670.000010, 214, 195, 3767.999964, 446, 188, 10299.999996, 152, 198, 
952863, 895008  , 88272.999935, 185, 1138.000041, 384, 171, 25702.000050, 222, 185, 25389.000030, 392, 185, 36043.999920, 177, 185, 
955465, 1071320  , 40448.999970, 219, 910.999992, 380, 152, 9264.000024, 238, 216, 10797.999980, 420, 218, 19476.000100, 219, 218, 
957974, 965743  , 23774.000000, 200, 442.999935, 309, 147, 6920.000000, 226, 200, 6146.000000, 473, 200, 10265.000000, 172, 200, 
966975, 1122886  , 54546.000023, 227, 320.999988, 362, 123, 16221.999985, 203, 227, 13898.000090, 494, 227, 24104.999929, 143, 227, 
984472, 900798  , 16355.000080, 186, 146.000016, 337, 72, 2428.999926, 192, 173, 2335.999920, 406, 170, 11443.999939, 161, 181, 
987983, 838577  , 25282.000074, 174, 2333.000040, 245, 164, 6474.000078, 240, 174, 5528.000010, 455, 174, 10946.999982, 208, 174, 
